Date, Title,Price (USD),Neighbourhood,City,Building Area (sqm),Land Area (sqm),Bedrooms,Bathrooms
2025-09-06 00:09:26,Greendale - House,305000,Greendale,harare east,,4000,3,2
2025-09-06 00:09:26,Ruwa - House,42000,Ruwa,ruwa,,230,4,2
2025-09-06 00:09:26,Hatfield - Townhouse Complex,152250,Hatfield,harare south,,400,3,2
2025-09-06 00:09:26,Zimre Park - House,60000,Zimre Park,harare east,,600,3,1
2025-09-06 00:09:26,Parklands - House,90000,Parklands,bulawayo east,,,3,
2025-09-06 00:09:26,Dzivarasekwa - House,37000,Dzivarasekwa,harare high density,,360,3,2
2025-09-06 00:09:26,Fortunes Gate - House,1950000,Fortunes Gate,bulawayo east,,137800,3,2
2025-09-06 00:09:26,Mabvazuva - House,48000,Mabvazuva,ruwa,,400,4,3
2025-09-06 00:09:26,Greendale - Townhouse Complex,210000,Greendale,harare east,,4047,3,2
2025-09-06 00:09:26,Helensvale - House,1450000,Helensvale,harare north,,12000,6,10
2025-09-06 00:09:26,Marlborough - Townhouse Complex,220000,Marlborough,harare west,,400,4,4
2025-09-06 00:09:26,Hogerty Hill - House,520000,Hogerty Hill,harare north,,2691,6,6
2025-09-06 00:09:26,"Vainona - House, Townhouse Complex",250000,Vainona,harare north,,500,4,
2025-09-06 00:09:26,Glen Lorne - House,600000,Glen Lorne,harare north,,4056,5,3
2025-09-06 00:09:26,Borrowdale - House,950000,Borrowdale,harare north,,4335,5,3
2025-09-06 00:09:26,Fidelity - House,65000,Fidelity,harare south,,240,3,1
2025-09-06 00:09:26,Palmerston - House,110000,Palmerston,mutare,,1395,3,2
2025-09-06 00:09:26,Mount Pleasant - House,360000,Mount Pleasant,harare north,,2000,3,1
2025-09-06 00:09:26,Greendale - House,390000,Greendale,harare east,,390000,4,3
2025-09-06 00:09:26,The Grange - House,350000,The Grange,harare north,,2280,5,3
2025-09-06 00:09:26,Greendale - House,305000,Greendale,harare east,,4000,3,2
2025-09-06 00:09:26,Ruwa - House,42000,Ruwa,ruwa,,230,4,2
2025-09-06 00:09:26,Hatfield - Townhouse Complex,152250,Hatfield,harare south,,400,3,2
2025-09-06 00:09:26,Zimre Park - House,60000,Zimre Park,harare east,,600,3,1
2025-09-06 00:09:26,Parklands - House,90000,Parklands,bulawayo east,,,3,
2025-09-06 00:09:26,Dzivarasekwa - House,37000,Dzivarasekwa,harare high density,,360,3,2
2025-09-06 00:09:26,Fortunes Gate - House,1950000,Fortunes Gate,bulawayo east,,137800,3,2
2025-09-06 00:09:26,Mabvazuva - House,48000,Mabvazuva,ruwa,,400,4,3
2025-09-06 00:09:26,Greendale - Townhouse Complex,210000,Greendale,harare east,,4047,3,2
2025-09-06 00:09:26,Helensvale - House,1450000,Helensvale,harare north,,12000,6,10
2025-09-06 00:09:26,Marlborough - Townhouse Complex,220000,Marlborough,harare west,,400,4,4
2025-09-06 00:09:26,Hogerty Hill - House,520000,Hogerty Hill,harare north,,2691,6,6
2025-09-06 00:09:26,"Vainona - House, Townhouse Complex",250000,Vainona,harare north,,500,4,
2025-09-06 00:09:26,Glen Lorne - House,600000,Glen Lorne,harare north,,4056,5,3
2025-09-06 00:09:26,Borrowdale - House,950000,Borrowdale,harare north,,4335,5,3
2025-09-06 00:09:26,Greendale - Townhouse Complex,220000,Greendale,harare east,,450,3,2
2025-09-06 00:09:26,Carrick Creagh - Townhouse Complex,250000,Carrick Creagh,harare north,,600,4,3
2025-09-06 00:09:26,Chitungwiza - House,32000,Chitungwiza,chitungwiza,,300,4,
2025-09-06 00:09:26,Glen View - House,37000,Glen View,harare high density,,289,4,1
2025-09-06 00:09:26,Chisipite - Townhouse Complex,400000,Chisipite,harare north,,266380000,4,3
2025-09-06 00:09:26,Mandara - House,320000,Mandara,harare east,,4278,3,2
2025-09-06 00:09:26,Selbourne Park - House,180000,Selbourne Park,bulawayo east,,2500,9,6
2025-09-06 00:09:26,Zimre Park - House,110000,Zimre Park,harare east,,540,3,2
2025-09-06 00:09:26,Mainway Meadows - House,90000,Mainway Meadows,harare south,,450,3,2
2025-09-06 00:09:26,Tynwald - House,105000,Tynwald,harare west,,470,3,2
2025-09-06 00:09:26,Montrose - House,100000,Montrose,bulawayo south,,1125,3,1
2025-09-06 00:09:26,Vainona - Townhouse Complex,450000,Vainona,harare north,,500,4,4
2025-09-06 00:09:26,Hatfield - House,160000,Hatfield,harare south,,1851,3,3
2025-09-06 00:09:26,Marlborough - Townhouse Complex,130000,Marlborough,harare west,,300,3,3
2025-09-06 00:09:26,Kensington - House,140000,Kensington,bulawayo east,,26600,3,2
2025-09-06 00:09:26,Zimre Park - House,82000,Zimre Park,harare east,,500,3,2
2025-09-06 00:09:26,Haydon Park - House,90000,Haydon Park,harare west,,800,2,2
2025-09-06 00:09:26,Borrowdale Brooke - House,1980000,Borrowdale Brooke,harare north,,4046,5,3
2025-09-06 00:09:26,Tynwald - House,95000,Tynwald,harare west,,705,3,1
2025-09-06 00:09:26,Kumalo - House,220000,Kumalo,bulawayo east,,2344,3,
2025-09-06 00:09:26,Arlington - Townhouse Complex,155000,Arlington,harare south,,430,3,2
2025-09-06 00:09:26,Hillside - Townhouse Complex,315000,Hillside,bulawayo south,,4143,6,4
2025-09-06 00:09:26,Ilanda - House,175000,Ilanda,bulawayo east,,1856,3,2
2025-09-06 00:09:26,Hillside - House,240000,Hillside,bulawayo south,,1,4,3
2025-09-06 00:09:26,Glen Lorne - House,540000,Glen Lorne,harare north,,4685,4,
2025-09-06 00:09:26,Waterfalls - Townhouse Complex,95000,Waterfalls,harare south,,300,3,2
2025-09-06 00:09:26,Arlington - House,175000,Arlington,harare south,,500,3,2
2025-09-06 00:09:26,Mainway Meadows - House,120000,Mainway Meadows,harare south,,550,3,2
2025-09-06 00:09:26,Mabelreign - House,145000,Mabelreign,harare west,,1805,4,
2025-09-06 00:09:26,Emerald Hill - Townhouse Complex,260000,Emerald Hill,harare west,,700,3,2
2025-09-06 00:09:26,Greendale North - House,380000,Greendale North,harare north,,2700,4,3
2025-09-06 00:09:26,Haydon Park - Townhouse Complex,140000,Haydon Park,harare west,,1291,4,2
2025-09-06 00:09:26,Mount Pleasant - House,360000,Mount Pleasant,harare north,,2000,3,1
2025-09-06 00:09:26,Houghton Park - House,105000,Houghton Park,harare south,,690,4,2
2025-09-06 00:09:26,Matsheumhlope - House,525000,Matsheumhlope,bulawayo east,,12342,3,3
2025-09-06 00:09:26,Goodhope - House,210000,Goodhope,harare west,,2000,5,3
2025-09-06 00:09:26,Greendale - Townhouse Complex,220000,Greendale,harare east,,8000,3,2
2025-09-06 00:09:26,Ashdown Park - House,150000,Ashdown Park,harare west,,600,5,3
2025-09-06 00:09:26,Chirundu - House,120000,Chirundu,chirundu,,3222,4,2
2025-09-06 00:09:26,Cold Comfort - House,79000,Cold Comfort,harare west,,400,4,3
2025-09-06 00:09:26,Rockview - House,65000,Rockview,harare east,,1000,4,2
2025-09-06 00:09:26,Hatfield - House,220000,Hatfield,harare south,,4048,3,3
2025-09-06 00:09:26,Glen Lorne - House,550000,Glen Lorne,harare north,,4685,4,4
2025-09-06 00:09:26,Rhodesville - Townhouse Complex,240000,Rhodesville,harare east,,165,2,2
2025-09-06 00:09:26,Pomona - Townhouse Complex,230000,Pomona,harare north,,250,3,2
2025-09-06 00:09:26,Colne Valley - Townhouse Complex,350000,Colne Valley,harare north,,6000,3,2
2025-09-06 00:09:26,Christon Bank - House,490000,Christon Bank,christon bank,,16500,4,3
2025-09-06 00:09:26,Suburbs - House,280000,Suburbs,bulawayo east,,2000,3,2
2025-09-06 00:09:26,Hogerty Hill - House,150000,Hogerty Hill,harare north,,2300,6,2
2025-09-06 00:09:26,Glen Lorne - House,1350000,Glen Lorne,harare north,,16187,4,3
2025-09-06 00:09:26,Westgate - House,210000,Westgate,harare west,,820,3,3
2025-09-06 00:09:26,Chisipite - House,540000,Chisipite,harare north,,4047,4,3
2025-09-06 00:09:26,Eastlea - House,340000,Eastlea,harare east,,1555,5,2
2025-09-06 00:09:26,Groom Bridge - Townhouse Complex,370000,Groom Bridge,harare north,,,3,3
2025-09-06 00:09:26,Groom Bridge - Townhouse Complex,370000,Groom Bridge,harare north,,679,3,3
2025-09-06 00:09:26,Colne Valley - House,660000,Colne Valley,harare north,,4277,8,5
2025-09-06 00:09:26,Colne Valley - House,660000,Colne Valley,harare north,,4277,6,4
2025-09-06 00:09:26,Borrowdale - House,850000,Borrowdale,harare north,,4200,5,5
2025-09-06 00:09:26,Greendale - House,300000,Greendale,harare east,,4048,3,2
2025-09-06 00:09:26,Chinhoyi - House,115000,Chinhoyi,chinhoyi,,2800,3,2
2025-09-06 00:09:26,Glen Lorne - House,550000,Glen Lorne,harare north,,7033,4,3
2025-09-06 00:09:26,Northend - Townhouse Complex,105000,Northend,bulawayo north,,,3,2
2025-09-06 00:09:26,Mount Pleasant - House,390000,Mount Pleasant,harare north,,4065,4,2
2025-09-06 00:09:26,Helensvale - House,395000,Helensvale,harare north,,2548,4,3
2025-09-06 00:09:26,Greendale North - House,350000,Greendale North,harare north,,4047,5,3
2025-09-06 00:09:26,Strathaven - House,240000,Strathaven,harare west,,2000,2,2
2025-09-06 00:09:26,Katanga - House,245000,Katanga,norton,,2048,6,3
2025-09-06 00:09:26,Mount Pleasant - House,450000,Mount Pleasant,harare north,,4057,4,2
2025-09-06 00:09:26,Hatfield - House,650000,Hatfield,harare south,,20000,12,12
2025-09-06 00:09:26,Groom Bridge - Townhouse Complex,230000,Groom Bridge,harare north,,500,3,2
2025-09-06 00:09:26,Monavale - House,430000,Monavale,harare west,,3900,5,3
2025-09-06 00:09:26,Emganwini - House,49600,Emganwini,bulawayo high density,,300,4,2
2025-09-06 00:09:26,Famona - House,125000,Famona,bulawayo south,,1821,3,1
2025-09-06 00:09:26,Zimre Park - House,50000,Zimre Park,harare east,,400,3,2
2025-09-06 00:09:26,Greendale - Townhouse Complex,230000,Greendale,harare east,,300,3,2
2025-09-06 00:09:26,Colne Valley - House,560000,Colne Valley,harare north,,4647,5,3
2025-09-06 00:09:26,Vainona - Townhouse Complex,250000,Vainona,harare north,,500,3,2
2025-09-06 00:09:26,Lake Chivero - House,185000,Lake Chivero,lake chivero,,500,3,2
2025-09-06 00:09:26,Suburbs - House,164000,Suburbs,bulawayo east,,1388,3,
2025-09-06 00:09:26,Fairview - House,120000,Fairview,harare west,,1000,4,2
2025-09-06 00:09:26,Helensvale - House,395000,Helensvale,harare north,,2548,4,3
2025-09-06 00:09:26,Vainona - Townhouse Complex,580000,Vainona,harare north,,800,5,5
2025-09-06 00:09:26,Mount Pleasant - Townhouse Complex,295000,Mount Pleasant,harare north,,4567,4,3
2025-09-06 00:09:26,Glen Lorne - House,750000,Glen Lorne,harare north,,7369,4,3
2025-09-06 00:09:26,Norton - House,48000,Norton,norton,,300,3,2
2025-09-06 00:09:26,Pomona - Townhouse Complex,580000,Pomona,harare north,,800,5,5
2025-09-06 00:09:26,Borrowdale - House,525000,Borrowdale,harare north,,4055,4,2
2025-09-06 00:09:26,Chivhu - House,23000,Chivhu,chivhu,,200,3,1
2025-09-06 00:09:26,Highlands - Townhouse Complex,348000,Highlands,harare north,,400,4,3
2025-09-06 00:09:26,Arcadia - House,95000,Arcadia,harare south,,714,3,1
2025-09-06 00:09:26,Hogerty Hill - House,90000,Hogerty Hill,harare north,,1500,4,4
2025-09-06 00:09:26,Marondera - House,110000,Marondera,marondera,,2522,4,2
2025-09-06 00:09:26,Chisipite - House,560000,Chisipite,harare north,,4647,5,3
2025-09-06 00:09:26,Madokero - House,130000,Madokero,harare west,,400,4,
2025-09-06 00:09:26,Harrisvale - House,49000,Harrisvale,bulawayo north,,900,3,2
2025-09-06 00:09:26,Nyanga - House,500000,Nyanga,nyanga,,423291,2,2
2025-09-06 00:09:26,Glen View - House,58000,Glen View,harare high density,,300,3,
2025-09-06 00:09:26,Norton - House,20000,Norton,norton,,240,2,
2025-09-06 00:09:26,Gletwin Park - House,500000,Gletwin Park,harare north,,3629,7,
2025-09-06 00:09:26,Greendale - House,230000,Greendale,harare east,,1400,5,
2025-09-06 00:09:26,Helensvale - Cottage,650000,Helensvale,harare north,,5347,6,4
2025-09-06 00:09:26,Philadelphia - Townhouse Complex,935000,Philadelphia,harare north,,15300,4,4
2025-09-06 00:09:26,Ilanda - House,149000,Ilanda,bulawayo east,,1300,3,1
2025-09-06 00:09:26,Mandara - House,290000,Mandara,harare east,,4010,4,2
2025-09-06 00:09:26,Mabvazuva - House,90000,Mabvazuva,ruwa,,400,3,
2025-09-06 00:09:26,Mandara - House,550000,Mandara,harare east,,1,6,4
2025-09-06 00:09:26,Msasa Park - House,63000,Msasa Park,harare south,,466,3,1
2025-09-06 00:09:26,Pomona - House,800000,Pomona,harare north,,4674,7,6
2025-09-06 00:09:26,Victoria Falls - House,300000,Victoria Falls,victoria falls,,626,6,6
2025-09-06 00:09:26,Helensvale - Townhouse Complex,350000,Helensvale,harare north,,1800,3,2
2025-09-06 00:09:26,Chitungwiza - House,35000,Chitungwiza,chitungwiza,,300,4,
2025-09-06 00:09:26,Athlone - House,250000,Athlone,harare east,,4896,5,1
2025-09-06 00:09:26,Pomona - Townhouse Complex,395000,Pomona,harare north,,1038,3,3
2025-09-06 00:09:26,Goromonzi - House,35000,Goromonzi,goromonzi,,300,3,
2025-09-06 00:09:26,Carrick Creagh - House,260000,Carrick Creagh,harare north,,2000,4,
2025-09-06 00:09:26,Newton - House,200000,Newton,bulawayo south,,9136,3,1
2025-09-06 00:09:26,Budiriro - House,43000,Budiriro,harare high density,,375,4,
2025-09-06 00:09:26,Kensington - House,80000,Kensington,bulawayo east,,12140,3,2
2025-09-06 00:09:26,Suburbs - House,250000,Suburbs,bulawayo east,,1455,3,2
2025-09-06 00:09:26,Mutare CBD - House,220000,Mutare CBD,mutare,,8640,6,2
2025-09-06 00:09:26,Kensington - Townhouse Complex,340000,Kensington,harare west,,240,3,2
2025-09-06 00:09:26,Glen Lorne - House,850000,Glen Lorne,harare north,,11000,4,3
2025-09-06 00:09:26,Mt Pleasant Heights - House,165000,Mt Pleasant Heights,harare west,,2100,3,2
2025-09-06 00:09:26,Brookview - House,400000,Brookview,harare north,,2000,5,3
2025-09-06 00:09:26,Belvedere - House,190000,Belvedere,harare west,,1300,3,2
2025-09-06 00:09:26,Waterfalls - House,100000,Waterfalls,harare south,,450,3,2
2025-09-06 00:09:26,Belgravia - House,780000,Belgravia,harare north,,3905,4,2
2025-09-06 00:09:26,St. Marys - House,30000,St. Marys,chitungwiza,,400,9,1
2025-09-06 00:09:26,Norton - House,140000,Norton,norton,,2112,3,2
2025-09-06 00:09:26,Pelandaba - House,25000,Pelandaba,bulawayo high density,,300,8,1
2025-09-06 00:09:26,Haig Park - House,150000,Haig Park,harare west,,1071,3,
2025-09-06 00:09:26,Monavale - Townhouse Complex,210000,Monavale,harare west,,450,4,3
2025-09-06 00:09:26,Helensvale - House,380000,Helensvale,harare north,,2800,3,
2025-09-06 00:09:26,Greendale - House,250000,Greendale,harare east,,4896,4,2
2025-09-06 00:09:26,Glaudina - House,85000,Glaudina,harare west,,550,3,2
2025-09-06 00:09:26,Kadoma - House,75000,Kadoma,kadoma,,2400,3,2
2025-09-06 00:09:26,Fairbridge Park - House,420000,Fairbridge Park,mutare,,6311,6,4
2025-09-06 00:09:26,Fairview - House,90000,Fairview,ruwa,,260,3,2
2025-09-06 00:09:26,Marondera - House,17000,Marondera,marondera,,281,4,1
2025-09-06 00:09:26,Norton - House,130000,Norton,norton,,3140,4,2
2025-09-06 00:09:26,Chitungwiza - House,20000,Chitungwiza,chitungwiza,,200,4,2
2025-09-06 00:09:26,Tynwald - House,120000,Tynwald,harare west,,400,4,
2025-09-06 00:09:26,Zimre Park - House,110000,Zimre Park,harare east,,1000,5,2
2025-09-06 00:09:26,Crowhill Views - House,120000,Crowhill Views,harare north,,1250,5,3
2025-09-06 00:09:26,Granary Park - House,35000,Granary Park,harare high density,,300,5,2
2025-09-06 00:09:26,Zimre Park - House,90000,Zimre Park,harare east,,1500,4,2
2025-09-06 00:09:26,Chimanimani - House,18000,Chimanimani,chimanimani,,300,2,
2025-09-06 00:09:26,Tynwald - House,100000,Tynwald,harare west,,566,4,2
2025-09-06 00:09:26,Romney Park - House,60000,Romney Park,bulawayo north,,1,4,3
2025-09-06 00:09:26,Chisipite - House,540000,Chisipite,harare north,,4000,3,2
2025-09-06 00:09:26,New Marlborough - Cottage,115000,New Marlborough,harare west,,504,3,2
2025-09-06 00:09:26,Chiredzi - House,120000,Chiredzi,chiredzi,,4600,4,2
2025-09-06 00:09:26,Monavale - House,300000,Monavale,harare west,,4020,5,3
2025-09-06 00:09:26,Mt Pleasant Heights - House,320000,Mt Pleasant Heights,harare west,,1900,5,2
2025-09-06 00:09:26,Mount Pleasant - House,450000,Mount Pleasant,harare north,,4057,4,2
2025-09-06 00:09:26,Pomona - House,380000,Pomona,harare north,,2558,5,5
2025-09-06 00:09:26,Riverside South - House,250000,Riverside South,bulawayo east,,,6,5
2025-09-06 00:09:26,Greendale - House,330000,Greendale,harare east,,3711,4,
2025-09-06 00:09:26,Hatfield - House,120000,Hatfield,harare south,,4000,3,1
2025-09-06 00:09:26,Mount Pleasant - Townhouse Complex,220000,Mount Pleasant,harare north,,296,3,2
2025-09-06 00:09:26,Avenues - House,410000,Avenues,harare cbd,,400,4,
2025-09-06 00:09:26,Mandara - House,350000,Mandara,harare east,,4200,5,3
2025-09-06 00:09:26,Greendale North - Townhouse Complex,320000,Greendale North,harare north,,,3,2
2025-09-06 00:09:26,Avenues - Townhouse Complex,550000,Avenues,harare cbd,,890,4,2
2025-09-06 00:09:26,Chitungwiza - House,26000,Chitungwiza,chitungwiza,,240,4,1
2025-09-06 00:09:26,Glen View - House,40000,Glen View,harare high density,,200,3,1
2025-09-06 00:09:26,Bulawayo City Centre - House,220000,Bulawayo City Centre,bulawayo cbd industrial,,1200,5,5
2025-09-06 00:09:26,Old Windsor - House,200000,Old Windsor,ruwa,,3500,5,2
2025-09-06 00:09:26,Darlington - Townhouse Complex,160000,Darlington,mutare,,1834,3,1
2025-09-06 00:09:26,Greendale - House,330000,Greendale,harare east,,300,3,1
2025-09-06 00:09:26,Sandton Park - House,150000,Sandton Park,harare west,,1250,5,4
2025-09-06 00:09:26,Mabelreign - House,140000,Mabelreign,harare west,,1425,3,1
2025-09-06 00:09:26,Pomona - Townhouse Complex,230000,Pomona,harare north,,250,3,2
2025-09-06 00:09:26,Arlington - House,210000,Arlington,harare south,,647,3,2
2025-09-06 00:09:26,Highlands - Townhouse Complex,450000,Highlands,harare north,,500,4,5
2025-09-06 00:09:26,Hatfield - House,55000,Hatfield,harare south,,1000,3,
2025-09-06 00:09:26,Monavale - House,105000,Monavale,harare west,,1293,5,
2025-09-06 00:09:26,Hogerty Hill - House,220000,Hogerty Hill,harare north,,2100,5,8
2025-09-06 00:09:26,Manningdale - House,55000,Manningdale,bulawayo east,,1,3,
2025-09-06 00:09:26,Springvale - House,60000,Springvale,ruwa,,390,3,2
2025-09-06 00:09:26,Newlands - Townhouse Complex,380000,Newlands,harare north,,550,3,3
2025-09-06 00:09:26,Waterfalls - House,25000,Waterfalls,harare south,,1000,4,2
2025-09-06 00:09:26,Glaudina - House,55000,Glaudina,harare west,,200,3,2
2025-09-06 00:09:26,Karoi - House,35000,Karoi,karoi,,,,
2025-09-06 00:09:26,Warren Park - House,57000,Warren Park,harare high density,,240,4,1
2025-09-06 00:09:26,Old Windsor - House,150000,Old Windsor,ruwa,,2500,5,3
2025-09-06 00:09:26,"Vainona - House, Townhouse Complex",250000,Vainona,harare north,,6000,3,
2025-09-06 00:09:26,Philadelphia - House,800000,Philadelphia,harare north,,21853,5,2
2025-09-06 00:09:26,Suburbs - House,280000,Suburbs,bulawayo east,,2000,3,2
2025-09-06 00:09:26,Old Windsor - House,200000,Old Windsor,ruwa,,6000,5,3
2025-09-06 00:09:26,Manyame Park - House,35000,Manyame Park,chitungwiza,,200,3,2
2025-09-06 00:09:26,Tynwald - House,80000,Tynwald,harare west,,705,4,1
